	x	y	pval	padj
Cited4|Cited42	Maintenance	Craving	3.8922475672225e-18	5.60393828582334e-15
Adprhl2|Adprhl22	Maintenance	Craving	0.00153616572146542	0.0316472868177852
Ncdn|Ncdn2	Maintenance	Craving	0.000613772924982972	0.015482463392057
Bsdc1|Bsdc12	Maintenance	Craving	0.000930195707610285	0.0213363640433109
Ptp4a2|Ptp4a22	Maintenance	Craving	6.42220540576529e-05	0.00241859997142272
Pef1|Pef12	Maintenance	Craving	0.00116855198994864	0.0256109925010172
Col16a1|Col16a12	Maintenance	Craving	0.000747244188729778	0.0178622854156517
Hcrtr1|Hcrtr12	Maintenance	Craving	3.27767407065213e-05	0.00134535582413149
Grrp1|Grrp12	Maintenance	Craving	0.000124079104573997	0.00427695874827165
Paqr7|Paqr72	Maintenance	Craving	0.000467168727265206	0.0123676602661742
Tmem57|Tmem572	Maintenance	Craving	3.31455186324514e-05	0.00135751569418729
Lypla2|Lypla22	Maintenance	Craving	8.50681331992398e-10	1.12923421921289e-07
Epha8|Epha82	Maintenance	Craving	1.66760770478549e-15	1.11473619323107e-12
Rap1gap|Rap1gap2	Maintenance	Craving	2.10864372769741e-10	3.58795315011931e-08
Pink1|Pink12	Maintenance	Craving	1.42280042626231e-08	1.2064455953802e-06
Atp13a2|Atp13a22	Maintenance	Craving	2.54386926830769e-05	0.00107479912178138
Arhgef19|Arhgef192	Maintenance	Craving	9.05835729628816e-17	7.37153363107067e-14
Dnajc16|Dnajc162	Maintenance	Craving	0.00116784072799316	0.0256109925010172
Spsb1|Spsb12	Maintenance	Craving	9.3468519300899e-18	1.16630018383662e-14
Slc45a1|Slc45a12	Maintenance	Craving	0.0022087092652646	0.041673801731812
LOC108169018|LOC1081690182	Maintenance	Craving	7.32729918050381e-05	0.00271574373785128
Plekhg5|Plekhg52	Maintenance	Craving	0.00184959027668493	0.0365949061402873
Kcnab2|Kcnab22	Maintenance	Craving	4.14075284073816e-06	0.000210604540543739
Ajap1|Ajap12	Maintenance	Craving	4.13675864998458e-08	3.13472516808751e-06
Wrap73|Wrap732	Maintenance	Craving	1.42335936815245e-07	9.61769577390228e-06
Ttc34|Ttc342	Maintenance	Craving	9.92409191845641e-06	0.000463215033510595
Gabrd|Gabrd2	Maintenance	Craving	7.82960556036875e-07	4.68200406624351e-05
Mib2|Mib22	Maintenance	Craving	0.00226829096667419	0.0424981001233642
B930041F14Rik|B930041F14Rik2	Maintenance	Craving	2.03115633651512e-08	1.63867039442041e-06
Tas1r3|Tas1r32	Maintenance	Craving	1.27969273724854e-08	1.12450746305545e-06
Ube2j2|Ube2j22	Maintenance	Craving	2.44428094676413e-08	1.93964479258512e-06
Dhrsx|Dhrsx2	Maintenance	Craving	1.70346667970924e-07	1.13465430050241e-05
Fzd1|Fzd12	Maintenance	Craving	0.00138220537159136	0.0291665591207165
Akap9|Akap92	Maintenance	Craving	0.000926990305822466	0.0212889295142075
Napepld|Napepld2	Maintenance	Craving	0.000155669967996934	0.00512970913908208
Srpk2|Srpk22	Maintenance	Craving	0.00270300096515985	0.0484598362690583
Kcnh2|Kcnh22	Maintenance	Craving	2.52336137659262e-08	1.97614037178594e-06
Abcb8|Abcb82	Maintenance	Craving	0.000836482535321316	0.0196442203432987
Slc4a2|Slc4a22	Maintenance	Craving	8.59905491344507e-05	0.00311915718633627
Fastk|Fastk2	Maintenance	Craving	4.23208208085173e-14	1.9319970806659e-11
Chpf2|Chpf22	Maintenance	Craving	8.368812411106e-15	4.90803947938554e-12
Fndc4|Fndc42	Maintenance	Craving	0.00202724897100468	0.0389568983473251
Sh3bp2|Sh3bp22	Maintenance	Craving	0.000472691112588716	0.0124610697948211
